,Level,"Original
Objects","Recommended
Objects","Object
Difference","Original
Enemies","Recommended
Enemies","Enemy
Difference","Original
Difficulty","Recommended
Difficulty"
1,World_7_Level_1,43,50,7,13.5,11,-2.5,0.313953488372093,0.22
2,World_1_Level_1,49,53,4,14.5,12,-2.5,0.295918367346939,0.226415094339623
3,World_3_Level_3,48,56,8,18,15,-3,0.375,0.267857142857143
4,World_1_Level_4,47,58,11,19,16,-3,0.404255319148936,0.275862068965517
5,World_6_Level_3,49,64,15,17,18,1,0.346938775510204,0.28125
6,World_2_Level_1,49,65,16,21,20,-1,0.428571428571429,0.307692307692308
7,World_4_Level_3,50,66,16,18,21,3,0.36,0.318181818181818
8,World_8_Level_3,51,67,16,14,22,8,0.274509803921569,0.328358208955224
9,World_3_Level_4,53,69,16,21,23,2,0.39622641509434,0.333333333333333
10,World_6_Level_1,56,71,15,4,24,20,0.071428571428572,0.338028169014084
11,World_8_Level_4,55,73,18,28.5,25,-3.5,0.518181818181818,0.342465753424657
12,World_5_Level_2,56,75,19,21,26,5,0.375,0.346666666666667
13,World_3_Level_1,57,76,19,24,27,3,0.421052631578947,0.355263157894737
14,World_2_Level_4,56,77,21,23,28,5,0.410714285714286,0.363636363636364
15,World_8_Level_2,59,79,20,22.5,30,7.5,0.38135593220339,0.379746835443038
16,World_2_Level_2,60,81,21,20.5,32,11.5,0.341666666666667,0.395061728395062
17,World_4_Level_4,62,82,20,12,33,21,0.193548387096774,0.402439024390244
18,World_2_Level_3,65,84,19,10,35,25,0.153846153846154,0.416666666666667
19,World_7_Level_4,68,86,18,10,39,29,0.147058823529412,0.453488372093023
20,World_6_Level_2,70,88,18,19,41,22,0.271428571428571,0.465909090909091
*,Underground_Bonus,69,91,22,22,16,-6,N/A,N/A
*,Cloud_Bonus_1,9,30,21,4,2.5,-1.5,N/A,N/A
*,Cloud_Bonus_2,20,30,10,4,2.5,-1.5,N/A,N/A
*,Pipe_Intro (Small Castle),3,3,0,0,0,0,N/A,N/A
*,Warp_Zone (Pipe Intro Big Castle),30,10,-20,0,0,0,N/A,N/A
*,Underwater_Bonus,23,30,7,8,8,0,0.347826086956522,0.266666666666667
*,World_1_Level_3 (Pipe Exit Big Castle),41,10,-31,14,0,-14,N/A,N/A
*,World_3_Level_2 (Pipe Exit Small Castle),24,11,-13,18,0,-18,N/A,N/A
-,World_5_Level_1,30,0,-30,17.5,0,-17.5,N/A,N/A
-,World_4_Level_1,40,0,-40,6.5,0,-6.5,N/A,N/A
-,World_8_Level_1,72,0,-72,28.5,0,-28.5,N/A,N/A
-,World_4_Level_2,79,0,-79,22.5,0,-22.5,N/A,N/A
-,World_1_Level_2,80,0,-80,22,0,-22,N/A,N/A
-,Underwater_Castle,12,0,-12,9.5,0,-9.5,N/A,N/A
,Total:,1635,1635,0,527,527,0,N/A,N/A
,,,,,,,,,
,,,Objects to Transfer:,377,,Enemies to Transfer:,163,,
,From Level,To Level,# of Objects,,From Level,To Level,# of Enemies,,
12,Underwater_Castle,World_1_Level_1,4,1,World_2_Level_1,World_6_Level_3,1,,
8,Underwater_Castle,Underwater_Bonus,7,1.5,Cloud_Bonus_1,World_3_Level_4,1.5,,
1,Underwater_Castle,World_7_Level_1,1,1.5,Cloud_Bonus_2,World_3_Level_4,0.5,,
13,World_3_Level_2,World_7_Level_1,6,1,Cloud_Bonus_2,World_4_Level_3,1,,
7,World_3_Level_2,World_3_Level_3,7,2.5,World_7_Level_1,World_4_Level_3,2,,
20,Warp_Zone,World_3_Level_3,1,0.5,World_7_Level_1,World_3_Level_1,0.5,,
19,Warp_Zone,Cloud_Bonus_2,10,2.5,World_1_Level_1,World_3_Level_1,2.5,,
9,Warp_Zone,World_1_Level_4,9,3,World_3_Level_3,World_5_Level_2,3,,
30,World_5_Level_1,World_1_Level_4,2,3,World_1_Level_4,World_5_Level_2,2,,
28,World_5_Level_1,World_6_Level_3,15,1,World_1_Level_4,World_2_Level_4,1,,
13,World_5_Level_1,World_6_Level_1,13,3.5,World_8_Level_4,World_2_Level_4,3.5,,
31,World_1_Level_3,World_6_Level_1,2,6,Underground_Bonus,World_2_Level_4,0.5,,
29,World_1_Level_3,World_2_Level_1,16,5.5,Underground_Bonus,World_8_Level_2,5.5,,
13,World_1_Level_3,World_4_Level_3,13,6.5,World_4_Level_1,World_8_Level_2,2,,
40,World_4_Level_1,World_4_Level_3,3,4.5,World_4_Level_1,World_8_Level_3,4.5,,
37,World_4_Level_1,World_8_Level_3,16,9.5,Underwater_Castle,World_8_Level_3,3.5,,
21,World_4_Level_1,World_3_Level_4,16,6,Underwater_Castle,World_2_Level_2,6,,
5,World_4_Level_1,World_8_Level_4,5,18,World_3_Level_2,World_2_Level_2,5.5,,
72,World_8_Level_1,World_8_Level_4,13,12.5,World_3_Level_2,World_6_Level_1,12.5,,
59,World_8_Level_1,World_7_Level_4,18,14,World_1_Level_3,World_6_Level_1,7.5,,
41,World_8_Level_1,World_6_Level_2,18,6.5,World_1_Level_3,World_4_Level_4,6.5,,
23,World_8_Level_1,World_5_Level_2,19,17.5,World_5_Level_1,World_4_Level_4,14.5,,
4,World_8_Level_1,World_3_Level_1,4,3,World_5_Level_1,World_6_Level_2,3,,
79,World_4_Level_2,World_3_Level_1,15,22,World_1_Level_2,World_6_Level_2,19,,
64,World_4_Level_2,World_2_Level_3,19,3,World_1_Level_2,World_2_Level_3,3,,
45,World_4_Level_2,World_8_Level_2,20,22.5,World_4_Level_2,World_2_Level_3,22,,
25,World_4_Level_2,World_4_Level_4,20,0.5,World_4_Level_2,World_7_Level_4,0.5,,
5,World_4_Level_2,World_2_Level_4,5,28.5,World_8_Level_1,World_7_Level_4,28.5,,
80,World_1_Level_2,World_2_Level_4,16,,,,,,
64,World_1_Level_2,World_2_Level_2,21,,,,,,
43,World_1_Level_2,Cloud_Bonus_1,21,,,,,,
22,World_1_Level_2,Underground_Bonus,22,,,,,,
,,Total:,377,,,Total:,163,,
